,Open,High,Low,Close
2026-01-01,4343.0,4373.0,4319.0,4319.0
2026-01-02,4331.0,4402.0,4337.0,4337.0
2026-01-03,4331.0,4402.0,4333.0,4332.0
2026-01-05,4354.0,4455.0,4445.0,4445.0
2026-01-06,4449.0,4490.0,4480.0,4480.0
2026-01-07,4497.0,4500.0,4440.0,4440.0
2026-01-08,4460.0,4466.0,4447.0,4447.0
2026-01-09,4480.0,4510.0,4505.0,4505.0
2026-01-10,4480.0,4510.0,4510.0,4509.0
2026-01-12,4480.0,4510.0,4510.0,4509.0
2026-01-13,4605.0,4634.0,4619.0,4619.0
2026-01-14,4589.0,4618.0,4641.0,4617.0
2026-01-15,4630.0,4632.0,4615.0,4615.0
2026-01-16,4618.0,4620.0,4578.0,4595.0
2026-01-19,4624.0,4690.0,4674.0,4674.0
2026-01-20,4672.0,4750.0,4738.0,4737.0
2026-01-21,4765.0,4888.0,4847.0,4847.0
2026-01-22,4832.0,4873.0,4869.0,4869.0
2026-01-23,4941.0,4967.0,4960.0,4960.0
2026-01-26,5006.0,5110.0,5090.0,5090.0
2026-01-27,5015.0,5100.0,5088.0,5087.0
2026-01-28,5179.0,5311.0,5267.0,5266.0
2026-01-29,5422.0,5596.0,5201.0,5199.0
2026-01-30,5400.0,5450.0,5045.0,5044.0
2026-01-31,5400.0,5450.0,4861.0,4860.0
